hhno	Pregnancy_in_household	Child(ren)_under_2
209004	No	No
209005	No	No
209006	No	No
209007	Yes	No
209008	No	No
209009	No	No
209010	No	No
209011	No	No
209012	No	No
209013	No	No
209014	No	No
209015	No	No
209016	No	No
209017	No	No
209018	No	No
209019	No	No
209020	No	No
209021	No	No
209022	No	No
209023	No	No
209024	Yes	No
209025	No	No
209026	No	No
209027	No	Yes
209028	No	No
209029	No	No
209030	No	No
209031	No	Yes
209032	No	Yes
209033	No	No
209034	No	No
209035	No	No
209036	No	No
209037	No	No
209038	No	No
209039	No	No
209040	No	Yes
209041	No	No
209042	No	No
209043	No	No
209044	No	No
209045	No	No
209046	No	No
209047	No	No
209048	No	No
209049	Yes	No
209050	No	No
209051	No	No
209052	No	No
209053	No	No
209054	No	No
209055	No	Yes
209056	No	No
209057	No	No
209058	No	No
209059	No	No
209060	No	No
209061	No	No
209062	No	No
209063	No	No
209064	No	No
209065	No	No
209066	No	No
209067	No	No
209068	No	No
209069	No	No
209070	No	No
209071	No	No
209072	No	No
209073	No	No
209074	No	No
209075	Yes	No
209076	No	No
209077	No	No
209078	No	No
209079	No	No
209080	No	No
209081	No	No
209082	No	No
209083	No	No
209084	No	No
209085	No	No
209086	No	No
209087	No	No
209088	No	No
209089	No	No
209090	No	No
209091	No	No
209092	No	No
209093	No	No
209094	No	Yes
209095	No	No
209096	No	No
209097	No	No
209098	No	No
209099	No	No
209100	No	No
209101	No	No
209102	No	No
209103	No	No
209104	No	No
209105	No	No
209106	No	No
209107	No	No
209108	No	No
209109	No	Yes
209110	No	No
209111	No	Yes
209112	No	No
209113	No	No
209114	No	No
209115	No	No
209116	No	No
209117	No	No
209118	No	No
209119	No	No
209120	No	No
209121	No	No
209122	No	No
209123	No	No
209124	No	No
209125	No	No
209126	No	No
209127	No	No
209128	No	No
209129	No	Yes
209130	No	No
209131	No	No
209132	No	No
209133	No	No
209134	No	No
209135	No	No
209136	No	No
209137	No	Yes
209138	No	No
209139	No	No
209140	No	No
209141	No	No
209142	No	No
209143	No	No
209144	No	No
209145	No	No
209146	No	No
209147	No	No
209148	No	No
209149	No	No
209150	No	No
209151	No	Yes
209152	No	No
209153	No	No
209154	No	No
209155	No	No
209156	No	No
209157	No	Yes
209158	No	No
209159	No	No
209160	No	Yes
209161	No	Yes
209162	No	Yes
209163	No	No
209164	No	No
209165	No	No
209166	No	No
209167	No	No
209168	No	No
209169	No	No
209170	No	No
209171	No	No
209172	No	No
209173	No	No
209174	No	No
209175	No	No
209176	No	No
209177	No	No
209178	No	No
209179	No	No
209180	Yes	No
209181	No	No
209182	No	No
209183	No	No
209184	No	No
209185	Yes	No
209186	No	No
209187	No	No
209188	No	No
209189	No	No
209190	No	No
209191	No	No
209192	No	No
209193	No	No
209194	No	No
209195	No	No
209196	No	No
209197	No	No
209198	No	Yes
209199	Yes	No
209200	No	No
209201	No	No
209202	No	No
209203	No	No
209204	No	No
209205	No	No
209206	No	Yes
209207	No	No
209208	No	No
209209	No	No
209210	No	No
209211	No	No
209212	No	No
209213	No	No
209214	No	No
209215	No	No
209216	No	No
209217	No	No
209218	No	No
209219	No	No
209220	No	No
209221	No	No
209222	No	No
209223	No	No
209224	Yes	No
209225	No	No
209226	No	No
209227	No	No
209228	No	No
209229	No	No
209230	No	No
209231	No	No
209232	No	No
209233	No	No
209234	No	No
209235	No	No
209236	No	No
209237	No	No
209238	No	No
209239	No	No
209240	No	No
209241	No	No
209242	No	No
209243	No	No
209244	No	No
209245	No	No
209246	No	No
209247	No	No
209249	No	No
209250	No	No
209251	No	No
209252	No	No
209253	No	No
209254	No	No
209255	No	No
209256	No	No
209257	No	No
209258	No	No
209259	No	No
209260	No	Yes
209261	No	Yes
209262	No	No
209263	No	No
209264	No	No
209265	No	Yes
209266	No	No
209267	No	No
209268	No	No
209269	No	Yes
209270	No	No
209271	No	No
209272	No	No
209273	No	No
209274	No	No
209275	No	No
209276	No	No
209277	No	No
209278	No	No
209279	No	No
209280	No	No
209281	No	No
209282	No	No
209283	No	No
209284	No	No
209285	No	No
209286	No	No
209287	No	No
209288	No	Yes
209289	No	No
209290	No	No
209291	No	No
209292	No	Yes
209293	No	No
209294	No	No
209295	No	No
209296	No	No
209297	No	No
209298	No	No
209299	No	No
209300	No	No
209301	No	No
209302	No	No
209303	No	No
209304	No	No
209305	No	No
209306	No	No
209307	No	No
209308	No	No
209309	No	No
209310	No	No
209311	No	No
209312	No	No
209313	No	No
209314	No	No
209315	No	No
209316	No	No
209317	No	No
209318	No	No
209319	No	Yes
209320	No	No
209321	No	No
209322	No	No
209323	No	No
209324	No	Yes
209325	No	No
209326	No	No
209327	No	No
209328	No	No
209329	No	No
209330	No	No
209331	No	No
209332	No	No
209333	No	No
209334	No	No
209335	No	No
209336	No	Yes
209337	No	No
209338	No	No
209339	No	No
209340	No	Yes
209341	No	No
209342	No	No
209343	No	No
209344	No	No
209345	No	No
209346	No	Yes
209347	No	No
209348	No	Yes
209349	No	No
209350	No	No
209351	No	No
209352	No	No
209353	No	No
209354	No	No
209355	No	No
209356	No	No
