hhno	visgpno	sex	age	occ	soc	dact	nbalvis
110392	7	2	0	9995		0	23
110392	8	1	0	9995		0	9
110392	9	1	1	9985		0	9
110392	10	2	1	9995		0	2
110393	2	2	0	9995		0	34
110395	5	2	1	9985		0	8
110397	2	2	0	9995		0	19
110397	3	1	0	9995		0	5
110397	4	2	1	9985		0	5
110397	5	2	1	9985		0	5
110397	6	1	1	9985		0	5
110398	3	2	0	9995		0	4
110399	5	2	1	9985		0	4
110399	6	2	1	9985		0	4
110399	7	1	0	9995		0	2
110399	8	2	0	9995		0	10
110401	6	1	0	9995		0	12
110401	7	2	0	9995		0	12
110403	2	2	0	9995		0	15
110404	4	1	0	9995		0	5
110405	3	2	0	9995		0	9
110405	4	2	1	9985		0	9
110405	5	2	1	9985		0	9
110405	6	1	0	9995		0	5
110406	6	2	0	9995		0	2
110408	4	1	0	9995		0	2
110410	6	2	0	9995		0	16
110411	7	2	0	9995		0	5
110413	3	1	0	9995		0	7
110413	4	2	0	9995		0	7
110415	4	2	0	9995		0	14
110415	5	1	0	9995		0	2
110416	3	1	0	9995		0	8
110416	4	2	0	9995		0	9
110416	5	2	1	9985		0	2
110416	6	2	1	9985		0	2
110417	3	1	0	9995		0	14
110421	2	2	0	9995		0	10
110423	5	1	0	9995		0	4
110424	5	2	0	9995		0	12
110426	4	2	0	9995		0	30
110426	5	2	1	9985		0	4
110426	6	1	1	9985		0	18
110426	7	1	1	9985		0	15
110426	8	1	1	9985		0	15
110426	9	1	1	9985		0	11
110427	3	2	0	9995		0	5
110432	5	1	0	9995		0	5
110432	6	2	0	9995		0	5
110434	5	2	1	9985		0	4
110438	7	1	0	9995		0	8
110438	8	2	0	9995		0	14
110438	9	2	1	9995		0	2
110444	5	2	0	9995		0	12
110449	4	2	0	9995		0	7
110450	3	1	0	9995		0	39
110452	2	2	0	9995		0	48
110452	3	2	1	9985		0	13
110452	4	1	0	9995		0	27
110452	5	2	1	9985		0	9
110452	6	2	1	9985		0	9
110453	3	1	0	9995		0	9
110457	4	2	0	9995		0	16
110457	5	2	1	9985		0	12
110460	5	2	0	9995		0	4
110465	3	2	0	9995		0	6
110465	4	1	0	9995		0	2
110478	2	2	0	9995		0	10
110479	4	1	0	9995		0	5
110479	5	2	0	9995		0	5
110479	6	2	1	9985		0	3
110482	5	1	0	9995		0	10
110482	6	1	1	9995		0	2
110484	4	2	0	9995		0	7
110486	4	2	0	9995		0	66
110486	5	1	1	9985		0	33
110487	3	2	0	9995		0	44
110492	2	2	0	9995		0	14
110493	5	1	0	9995		0	2
110493	6	2	0	9995		0	7
110494	2	1	0	9995		0	16
110494	3	2	0	9995		0	23
110494	4	1	1	9985		0	4
110496	3	2	0	9995		0	28
110496	4	1	0	9995		0	28
110498	3	1	0	9995		0	4
110498	4	1	1	9995		0	6
110498	5	1	1	9985		0	4
110499	3	1	0	9995		0	5
110499	4	2	0	9995		0	12
110499	5	2	1	9985		0	7
110501	3	1	0	9995		0	19
110501	4	2	0	9995		0	38
110502	5	2	0	9995		0	5
110510	2	2	0	9995		0	4
110512	6	2	1	9985		0	31
